video,kfe_type,convo,n_in_convo,correct_guess_n,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,GPT_sentence,actual_sentence,my_notes
class1_lift_1,uniform,1,1,NA,put,store,place,organize,arange,clean,tidy,sort,stack,reach,The person lifts an item and positions it on a pantry shelf,The person lifts a stack of towels from a lower shelf and places it onto a higher shelf,though "lift" was not in GPT's top 10 GPT said 'lifting an item' in video explanation so technically GPT got it
class1_lift_2,uniform,1,2,2,curl,lift,raise,exercise,work out,train,flex,strengthen,hold,move,The individual raises a dumbbell using controlled arm flexion,The person lifts a dumbbell by curling their arm at the elbow<comma> engaging the biceps,0
class1_lift_3,uniform,1,3,1,lift,raise,pick up,hold,carry,hoist,move,exercise,strain,handle,The person lifts a box upward from waist level to chest height,The person lifts a box upward while already holding it at waist level,0
class1_lift_4,uniform,1,4,1,lift,raise,pick up,hoist,carry,hold,move,exercise,strain,handle,The person bends down to grab a bag and then lifts it up high above their head,The person lifts a plastic bag,0
class1_lower_1,uniform,1,5,4,put down,place,set,lower,drop (carefully),leave,release,position,rest,move,The person lowers a cup from midair until it rests on the table,The person lowers a cup,0
class1_lower_2,uniform,1,6,3,place,hold,lower,position,arrange,set,lean,balance,release,stand,The person interacts with a bowl of fruit,The person lowers a bowl filled with fruit to the lower tea table,0
class1_lower_3,uniform,1,7,2,drop,lower,let go,release,place,set,move,lean,bend,position,The person lowers a lightweight bag from waist height toward the floor until releasing it,The person lowers a trashbag onto the floor,0
class1_lower_4,uniform,1,8,1,lower,move,drop,release,place,set,hold,adjust,position,handle,The person gradually moves a teddy bear downward from chest level to hip level,The person lowers a stuffed animal,0
class1_pull_1,uniform,1,9,2,open,pull,turn,grip,hold,swing,move,twist,handle,operate,The person turns the doorknob and pulls the door open toward themselves,The person pulls the door,0
class1_pull_2,uniform,1,10,4,hold,lift,raise,pull,grip,position,adjust,lower,inspect,steady,NA,The person grabs a loose thread and pulls it from their sweater<comma> bringing it closer to their face,GPT gave an example sentence with each verb this time and the example for 'pull' was 'she pulls the strand taut or upward'
class1_pull_3,uniform,1,11,NA,type,work,use,operate,focus,sit,look,press,move,concentrate,The person engages in a computer-related activity — they type or work at a laptop,The person pulls the laptop on the desk toward them,GPT incorrectly analyzed action in video
class1_pull_4,uniform,1,12,2,walk,pull,approach,carry,enter,arrive,stop,turn,hold,open,NA,The person pulls luggage,0
class1_push_1,uniform,1,13,1,push,move,walk,hold,grip,lean,roll,guide,press,adjust,The person uses both hands to push or move a wheeled chair forward while walking behind it,The person pushed an earbud into his ears,ERROR either I labeled the video incorrectly or the final script sheet is outdated!
class1_push_2,uniform,1,14,1,push,slide,move,place,shift,adjust,arrange,set,position,touch,The person pushes a folded pile of clothes forward across the table with both hands,The person pushes a pile of clothes along the table<comma> from the edge to the far corner,from here onward I asked GPT to provide sentences describing the video along with verb lists
class1_push_3,uniform,1,15,2,slide,push,move,place,adjust,shift,position,set,extend,reach,The person sits at a table and slides a book forward across the tabletop before removing her hands and resting back,The person pushes a stack of hardcover books,0
class1_push_4,uniform,1,16,2,open,push,enter,walk,go,move,step,access,approach,pass,The person stands in front of a door<comma> pushes it open with both hands<comma> and begins to enter a room,The person pushes the door,0
class1_tote_1,uniform,1,17,NA,walk,carry,move,go,hold,stride,pass,walk by,proceed,head,The person walks forward while carrying a backpack on one shoulder,The person totes a heavy backpack across the room,0
class1_tote_2,uniform,1,18,NA,walk,step,move,stride,advance,proceed,go,pace,head,travel,The person walks forward along the path while carrying a red bag on their shoulder,The person totes a bulky shopping bag across the street,0
class1_tote_3,uniform,1,19,NA,walk,carry,move,stride,pass,proceed,head,cross,go,step,The person walks across the space while carrying a bag,The person totes a bucket filled with water across the room,ERROR either I labeled the video incorrectly or the final script sheet is outdated!
class1_tote_4,uniform,1,20,NA,walk,carry,move,step,hold,go,advance,transport,proceed,stride,The person walks forward while carrying a black bucket in one hand,The person totes a stuffed tote bag across the lobby,ERROR I believe the labels for class1_tote's 3 and 4 were switched but need to investigate
class2_flick_4,uniform,1,21,NA,cover,trap,place,hide,slide,move,position,push,set,capture,The person moves a ball toward an overturned glass bowl and places or traps it underneath the bowl using one hand,The person flicks a crumpled paper ball into a bin using their fingers,0
class2_flick_4,peakfuse,1,22,NA,pour,empty,tilt,dump,shake,drain,spill,lower,hold,move,The person pours or empties the contents of a glass bowl onto the table,The person flicks a crumpled paper ball into a bin using their fingers,0
class2_flick_4,segfuse,1,23,NA,pour,empty,tilt,dump,spill,drain,tip,unload,release,shake,The person tilts a large glass bowl<comma> appearing to pour or empty its contents onto the table,The person flicks a crumpled paper ball into a bin using their fingers,0
class2_flick_4,peakmot,1,24,NA,cover,trap,catch,place,lower,move,tilt,set,grab,position,The person tilts a glass bowl toward a small object on the table<comma> as if about to cover or trap it,The person flicks a crumpled paper ball into a bin using their fingers,0
class2_flick_4,segmot,1,25,NA,cover,trap,catch,place,set,lower,move,press,slide,hold,The person covers or traps an object on the table with a bowl,The person flicks a crumpled paper ball into a bin using their fingers,0
class4_rip_3,uniform,1,26,3,open,tear,rip,unseal,separate,split,pull,handle,inspect,examine,The person tears open an envelope using both hands,The person rips open a envelope along the perforated line,0
class4_shatter_3,uniform,1,27,NA,wave,greet,signal,gesture,acknowledge,motion,salute,communicate,respond,interact,The person waves their hand in greeting while standing outside,The person shatters a glass on the ground,0
class4_shatter_3,peakfuse,1,28,NA,wave,greet,signal,gesture,move,raise,acknowledge,salute,motion,indicate,The person waves their hand in greeting while standing outdoors,The person shatters a glass on the ground,0
